Parameter name,Baseline value,High asymptomatic rate in children,High asymptomatic rate for all ages,Low susceptibility in children,Equal susceptibility across ages,Low reporting of non-covid illness,High reporting of non-covid illness,Low relative household transmission,Generation time 5 days,Generation time 7 days
fraction_asymptomatic_0_9,0.18,0.4,0.4,0.18,0.18,0.18,0.18,0.18,0.18,0.18
fraction_asymptomatic_10_19,0.18,0.4,0.4,0.18,0.18,0.18,0.18,0.18,0.18,0.18
fraction_asymptomatic_20_29,0.18,0.18,0.4,0.18,0.18,0.18,0.18,0.18,0.18,0.18
fraction_asymptomatic_30_39,0.18,0.18,0.4,0.18,0.18,0.18,0.18,0.18,0.18,0.18
fraction_asymptomatic_40_49,0.18,0.18,0.4,0.18,0.18,0.18,0.18,0.18,0.18,0.18
fraction_asymptomatic_50_59,0.18,0.18,0.4,0.18,0.18,0.18,0.18,0.18,0.18,0.18
fraction_asymptomatic_60_69,0.18,0.18,0.4,0.18,0.18,0.18,0.18,0.18,0.18,0.18
fraction_asymptomatic_70_79,0.18,0.18,0.4,0.18,0.18,0.18,0.18,0.18,0.18,0.18
fraction_asymptomatic_80,0.18,0.18,0.4,0.18,0.18,0.18,0.18,0.18,0.18,0.18
mild_fraction_0_9,0.79,0.58,0.58,0.79,0.79,0.79,0.79,0.79,0.79,0.79
mild_fraction_10_19,0.79,0.58,0.58,0.79,0.79,0.79,0.79,0.79,0.79,0.79
mild_fraction_20_29,0.73,0.73,0.53,0.73,0.73,0.73,0.73,0.73,0.73,0.73
mild_fraction_30_39,0.68,0.68,0.50,0.68,0.68,0.68,0.68,0.68,0.68,0.68
mild_fraction_40_49,0.65,0.65,0.48,0.65,0.65,0.65,0.65,0.65,0.65,0.65
mild_fraction_50_59,0.59,0.59,0.43,0.59,0.59,0.59,0.59,0.59,0.59,0.59
mild_fraction_60_69,0.53,0.53,0.38,0.53,0.53,0.53,0.53,0.53,0.53,0.53
mild_fraction_70_79,0.41,0.41,0.30,0.41,0.41,0.41,0.41,0.41,0.41,0.41
mild_fraction_80,0.27,0.27,0.20,0.27,0.27,0.27,0.27,0.27,0.27,0.27
daily_non_cov_symptoms_rate,0.002,0.002,0.002,0.002,0.002,0.0005,0.005,0.002,0.002,0.002
relative_susceptibility_0_9,0.71,0.71,0.71,0.13,1,0.71,0.71,0.71,0.71,0.71
relative_susceptibility_10_19,0.74,0.74,0.74,0.13,1,0.74,0.74,0.74,0.74,0.74
relative_susceptibility_20_29,0.79,0.79,0.79,1.27,1,0.79,0.79,0.79,0.79,0.79
relative_susceptibility_30_39,0.87,0.87,0.87,1.27,1,0.87,0.87,0.87,0.87,0.87
relative_susceptibility_40_49,0.98,0.98,0.98,1.27,1,0.98,0.98,0.98,0.98,0.98
relative_susceptibility_50_59,1.11,1.11,1.11,1.27,1,1.11,1.11,1.11,1.11,1.11
relative_susceptibility_60_69,1.26,1.26,1.26,1.27,1,1.26,1.26,1.26,1.26,1.26
relative_susceptibility_70_79,1.45,1.45,1.45,1.27,1,1.45,1.45,1.45,1.45,1.45
relative_susceptibility_80,1.66,1.66,1.66,1.27,1,1.66,1.66,1.66,1.66,1.66
mean_infectious_period,6,6,6,6,6,6,6,6,5,7
relative_transmission_household,2,2,2,2,2,2,2,1,2,2
