Column name,Description,File type
time,Day number of the simulation,timeseries
lockdown,Is lockdown currently on (1 = Yes; 0 = No),timeseries
test_on_symptoms,Is testing on symptoms currently on (1=Yes; 0=No),timeseries
app_turned_on,Is the app currently on  (1= Yes; 0 = No),timeseries
total_infected,Cumulative infected,timeseries
total_infected_0_9,Cumulative infected aged 0-9 years,timeseries
total_infected_10_19,Cumulative infected aged 10-19 years,timeseries
total_infected_20_29,Cumulative infected aged 20-29 years,timeseries
total_infected_30_39,Cumulative infected aged 30-39 years,timeseries
total_infected_40_49,Cumulative infected aged 40-49 years,timeseries
total_infected_50_59,Cumulative infected aged 50-59 years,timeseries
total_infected_60_69,Cumulative infected aged 60-69 years,timeseries
total_infected_70_79,Cumulative infected aged 70-79 years,timeseries
total_infected_80,Cumulative infected aged 80+ years,timeseries
total_case,Cumulative cases,timeseries
total_case_0_9,Cumulative cases aged 0-9 years,timeseries
total_case_10_19,Cumulative cases aged 10-19 years,timeseries
total_case_20_29,Cumulative cases aged 20-29 years,timeseries
total_case_30_39,Cumulative cases aged 30-39 years,timeseries
total_case_40_49,Cumulative cases aged 40-49 years,timeseries
total_case_50_59,Cumulative cases aged 50-59 years,timeseries
total_case_60_69,Cumulative cases aged 60-69 years,timeseries
total_case_70_79,Cumulative cases aged 70-79 years,timeseries
total_case_80,Cumulative cases aged 80+ years,timeseries
total_death,Cumulative deaths,timeseries
total_death,Cumulative deaths,timeseries
total_death_0_9,Cumulative deaths aged 0-9 years,timeseries
total_death_10_19,Cumulative deaths aged 10-19 years,timeseries
total_death_20_29,Cumulative deaths aged 20-29 years,timeseries
total_death_30_39,Cumulative deaths aged 30-39 years,timeseries
total_death_40_49,Cumulative deaths aged 40-49 years,timeseries
total_death_50_59,Cumulative deaths aged 50-59 years,timeseries
total_death_60_69,Cumulative deaths aged 60-69 years,timeseries
total_death_70_79,Cumulative deaths aged 70-79 years,timeseries
total_death_80,Cumulative deaths aged 80+ years,timeseries
n_presymptom,Current number presymptomatic (both mild and severe),timeseries
n_asymptom,Current number asymptomatic,timeseries
n_quarantine,Current number in quarantine,timeseries
n_tests,Current number of tests reporting results today,timeseries
n_symptoms,Current number of symptomatic (both mild and severe),timeseries
n_hospital,Current number in hospital who have not yet required critical care,timeseries
n_hospitalised_recovering,Current number in hospital who left critical care but not been discharged,timeseries
n_critical,Current number in critical care,timeseries
n_death,Daily number of deaths,timeseries
n_recovered,Cumulative number recovered,timeseries
hospital_admissions,Daily hospital admissions,timeseries
hospital_admissions_total,Cumulative hospital admissions,timeseries
hospital_to_critical_daily,Daily transitions from hospital to critical,timeseries
hospital_to_critical_total,Cumulative transitions from hospital to critical,timeseries
n_quarantine_infected,Current number in quarantine that have ever been infected,timeseries
n_quarantine_recovered,Current number in quarantine that are recovered,timeseries
n_quarantine_app_user,Current number of app users in quarantine,timeseries
n_quarantine_app_user_infected,Current number of app users in quarantine that have ever been infected,timeseries
n_quarantine_app_user_recovered,Current number of app users in quarantine that are recovered,timeseries
n_quarantine_events,Daily number of quarantine events,timeseries
n_quarantine_release_events,Daily number of quarantine release events,timeseries
n_quarantine_events_app_user,Daily number of quarantine events of app users,timeseries
n_quarantine_release_events_app_user,Daily number of quarantine release events of app users,timeseries

