n_region,n_p,xs,ys
5,1,423500,524500
5,1,424000,524500
5,1,424000,525000
5,1,424500,525000
5,1,425000,525000
5,1,425000,524500
5,1,425500,525000
5,1,425500,524500
5,1,425500,524000
5,1,425500,523500
5,1,425500,523000
5,1,426000,523500
5,1,426000,524000
5,1,426500,524000
5,1,427000,524000
5,1,427000,523500
5,1,426500,523500
5,1,426500,523000
5,1,426500,522500
5,1,426500,522000
5,1,426500,521500
5,1,427000,521500
5,1,427000,521000
5,1,427000,520500
5,1,427500,521000
5,1,427500,520500
5,1,428000,520500
5,1,428000,521000
5,1,428500,520500
5,1,428500,521000
5,1,429000,521000
5,1,428500,521500
5,1,428500,522000
5,1,429000,522000
5,1,429500,522000
5,1,430000,522000
5,1,430000,522500
5,1,430500,522500
5,1,431000,522500
5,1,431500,522500
5,1,432000,522500
5,1,432500,522500
5,1,433000,522500
5,1,433000,523000
5,1,433500,523000
5,1,434000,523000
5,1,434500,523000
5,1,435000,523000
5,1,435000,522500
5,1,435500,523000
5,1,435500,522500
5,1,435500,522000
5,1,436000,522000
5,1,436500,522000
5,1,436500,522500
5,1,437000,522500
5,1,437000,523000
5,1,437500,523000
5,1,437500,523500
5,1,438000,523000
5,1,438000,522500
5,1,438500,522500
5,1,438500,522000
5,1,438000,521500
5,1,438000,521000
5,1,438000,520500
5,1,438000,520000
5,1,438000,519500
5,1,438000,519000
5,1,437500,519000
5,1,437000,519000
5,1,437000,518500
5,1,436500,518500
5,1,436500,518000
5,1,436000,518000
5,1,436000,517500
5,1,436000,517000
5,1,436000,516500
5,1,436000,516000
5,1,436000,515500
5,1,435500,515500
5,1,436000,515000
5,1,436500,515000
5,1,436500,514500
5,1,437000,514500
5,1,437000,514000
5,1,437500,514000
5,1,437500,514500
5,1,437500,513500
5,1,437000,513500
5,1,437000,513000
5,1,437000,512500
5,1,437500,512500
5,1,437500,512000
5,1,437500,511500
5,1,437000,511500
5,1,437000,511000
5,1,436500,511000
5,1,436500,510500
5,1,437000,510500
5,1,436000,510500
5,1,436000,511000
5,1,436000,511500
5,1,435500,511500
5,1,435500,512000
5,1,435000,512000
5,1,434500,512000
5,1,434000,512000
5,1,434000,511500
5,1,434500,511500
5,1,435000,511500
5,1,435000,511000
5,1,435000,510500
5,1,435000,510000
5,1,435000,509500
5,1,435000,509000
5,1,435000,508500
5,1,435000,508000
5,1,435500,508000
5,1,435000,507500
5,1,435000,507000
5,1,435500,507000
5,1,435500,506500
5,1,435000,506500
5,1,434500,506500
5,1,434500,507000
5,1,434500,507500
5,1,434500,508000
5,1,434000,508000
5,1,434000,508500
5,1,434000,509000
5,1,433500,509000
5,1,433500,508500
5,1,433000,509000
5,1,432500,509000
5,1,432500,509500
5,1,433000,509500
5,1,433000,510000
5,1,432500,510000
5,1,432000,510000
5,1,432000,509500
5,1,432000,509000
5,1,431500,509000
5,1,431500,509500
5,1,431500,510000
5,1,431000,510000
5,1,430500,510000
5,1,430500,509500
5,1,430500,509000
5,1,431000,509000
5,1,431000,508500
5,1,430500,508500
5,1,430000,508500
5,1,429500,508500
5,1,429500,509000
5,1,429000,509000
5,1,429000,509500
5,1,429000,510000
5,1,428500,510000
5,1,428500,510500
5,1,428000,510500
5,1,427500,510500
5,1,427500,511000
5,1,427500,511500
5,1,427000,511500
5,1,427500,512000
5,1,427500,512500
5,1,427000,512500
5,1,427000,512000
5,1,426500,512000
5,1,426500,512500
5,1,427000,513000
5,1,427500,513000
5,1,426500,513000
5,1,426000,513000
5,1,426000,513500
5,1,426000,514000
5,1,425500,514000
5,1,425000,514000
5,1,425000,513500
5,1,424500,513500
5,1,424000,513000
5,1,424000,513500
5,1,423500,513500
5,1,424000,514000
5,1,424000,514500
5,1,423500,514500
5,1,423000,514500
5,1,422500,514500
5,1,422500,515000
5,1,422500,515500
5,1,422000,515500
5,1,421500,515500
5,1,421000,515500
5,1,420500,515500
5,1,420000,515500
5,1,419500,515500
5,1,419500,516000
5,1,419500,516500
5,1,419000,517000
5,1,419000,517500
5,1,419500,517500
5,1,419500,517000
5,1,419500,518000
5,1,420000,518000
5,1,419000,518500
5,1,419000,519000
5,1,419000,519500
5,1,419000,520000
5,1,419000,520500
5,1,419500,520500
5,1,419500,521000
5,1,420000,521000
5,1,420000,521500
5,1,420500,521500
5,1,420500,521000
5,1,421000,521000
5,1,421000,521500
5,1,421000,522000
5,1,420500,522000
5,1,420500,522500
5,1,420500,523000
5,1,420500,523500
5,1,420500,524000
5,1,420500,524500
5,1,420500,525000
5,1,421000,525000
5,1,421000,524500
5,1,421500,524500
5,1,422000,524500
5,1,422500,524500
5,1,422500,525000
5,1,423000,525000
5,1,423500,525000
6,1,358500,384500
6,1,358000,384500
6,1,358000,384000
