n_region,n_region_to,transfer
2,1,0.0648781271751538
3,1,0.0282609177182623
4,1,0.116121772135258
5,1,0.0231137899972988
45,1,0.0328667606643163
53,1,0.00116254173497334
140,1,0.0027868689580441
92,1,0.00499437144220337
76,1,0.00517397769075414
77,1,0.0022954190341901
78,1,0.00554573426767425
79,1,0.0134212048866088
90,1,0.000324562822635139
91,1,0.000565659907760467
1,2,0.0976843236917772
3,2,0.405797792877613
4,2,0.353816113765493
5,2,0.0770459666576625
14,2,0.00262557120423869
45,2,0.0157605909468529
53,2,0.00125028073383925
126,2,0.000454785477843451
133,2,0.000193066824537727
140,2,0.0239487609638903
92,2,0.004765755848018
76,2,0.00478043128922027
77,2,0.00306055871225347
78,2,0.00460577930705149
79,2,0.00708128334017265
87,2,0.000353751489751734
90,2,0.000818076155683091
91,2,0.000696973814919147
1,3,0.0413294387723443
2,3,0.394145305736696
4,3,0.162606459849821
5,3,0.0379939123131563
11,3,0.000641578055567693
14,3,0.00198600898782157
45,3,0.00704097406205559
53,3,0.000888357363517362
140,3,0.0222205588584912
141,3,0.000259952908374353
92,3,0.00269062968541238
76,3,0.00275482481073711
77,3,0.00181933212339512
78,3,0.00239688514958802
79,3,0.00467824856047507
90,3,0.00076472336292115
91,3,0.000525255628634719
1,4,0.244305427907951
2,4,0.494390935792687
3,4,0.233928970014078
5,4,0.209346787514876
11,4,0.00096236708335154
14,4,0.00382054271386015
45,4,0.0445573088941248
53,4,0.00304893021059045
126,4,0.000781662540043431
132,4,0.000176396025884608
133,4,0.000169304753825391
135,4,0.000211279691593212
137,4,0.000268792299095182
140,4,0.024412285369643
141,4,0.000255691385286248
92,4,0.009531511696036
76,4,0.00980393535585852
77,4,0.00635916087990442
78,4,0.00827160365348023
79,4,0.016757332958423
87,4,0.000478219606516233
90,4,0.00127157489415959
91,4,0.000757580233607768
124,4,0.000894944421335187
1,5,0.0264553825108688
2,5,0.0585687858652105
3,5,0.0297360755112485
4,5,0.113891082786726
14,5,0.00407300148349848
45,5,0.0878023454228522
53,5,0.00231411609508844
126,5,0.000575587870395618
140,5,0.0286126176390565
141,5,0.000217337677493311
92,5,0.00754431460811706
76,5,0.0078825029248402
77,5,0.00326459595973703
78,5,0.00502875903933173
79,5,0.00940762552051818
87,5,0.000504423420571917
90,5,0.000880321080572022
7,6,0.177405706462764
21,6,0.000996425807276217
40,6,0.0029836099493235
46,6,0.0110584875699771
47,6,0.0655188313073641
48,6,0.000676644377944741
124,6,0.000697530210746543
126,6,0.000433467408569539
127,6,0.000409182732259391
133,6,0.000163364236147307
135,6,0.00282188629182715
140,6,0.000440634311641469
144,6,0.00078816498259978
57,6,0.00333894560762689
58,6,0.00296097382872559
59,6,0.00845461356474534
60,6,0.00185323472190893
61,6,0.00298523020043841
62,6,0.00789521734443659
63,6,0.00667564521598458
64,6,0.00293977818216978
65,6,0.0139918182402186
66,6,0.0124140713295671
67,6,0.0880805275749453
68,6,0.052568527155088
69,6,0.0738354416446067
70,6,0.0166438868473147
71,6,0.0133151104938689
80,6,0.000165035516371437
89,6,0.000482873664927141
90,6,0.000684694173778239
6,7,0.286286290093044
8,7,0.00842710188807443
9,7,0.00359300587308442
18,7,0.000748011937739893
21,7,0.00334909785223395
23,7,0.000602243930231015
25,7,0.00148071906770783
30,7,0.000914774844342302
40,7,0.00138008389726417
46,7,0.0374555750086102
47,7,0.0656531123742088
48,7,0.00133146151789126
124,7,0.00167144031631719
126,7,0.00172676361118685
127,7,0.00106915488106486
130,7,0.000151755483293426
132,7,0.00020707359560367
133,7,0.000279204330869943
134,7,0.000131861767242524
135,7,0.0107144851818914
136,7,0.00053788422876972
137,7,0.000329038848892378
139,7,0.000511249794433367
140,7,0.000789708246837958
141,7,0.000413367739546102
142,7,0.00034144688738644
144,7,0.00168892496271382
146,7,0.00022494987358732
147,7,0.000565764416024591
148,7,0.000208756241572024
149,7,0.000403797151183737
