n_region,n_region_to,transfer
2,1,0.0690199902851173
3,1,0.0300651136414118
4,1,0.123535063874894
5,1,0.0245893898379476
45,1,0.0349649966872523
79,1,0.0142780235993474
1,2,0.103920556368907
3,2,0.431704195876682
4,2,0.37640397154011
5,2,0.0819646327931588
45,2,0.0167667576331656
140,2,0.0254776659105124
79,2,0.00753335721336998
1,3,0.0439679378360507
2,3,0.419307806149027
4,3,0.172987365199871
5,3,0.0404194691327637
45,3,0.007490474563929
140,3,0.0236391342247358
1,4,0.259902050120611
2,4,0.525953184396624
3,4,0.248863152202126
5,4,0.222711626701068
45,4,0.0474018773492158
140,4,0.0259707820249094
92,4,0.0101400097892287
76,4,0.0104298251580298
79,4,0.0178271323226138
1,5,0.0281443118565929
2,5,0.0623078563984205
3,5,0.0316344464963206
4,5,0.121161965823695
45,5,0.093407705985949
140,5,0.0304392663208033
76,5,0.00838572719317387
79,5,0.0100082146372569
7,6,0.188731405632707
46,6,0.011764468826101
47,6,0.0697015973984269
135,6,0.0030020374034811
59,6,0.00899436175966898
62,6,0.00839925330983649
63,6,0.00710182287953896
65,6,0.0148850652917868
66,6,0.0132065939612018
67,6,0.0937036474730256
68,6,0.0559245371518155
69,6,0.0785491457120813
70,6,0.0177064437357587
71,6,0.0141651560694873
6,7,0.304562998676562
46,7,0.0398467640139865
47,7,0.069844451058553
135,7,0.0113985050950636
57,7,0.0230821361595945
58,7,0.0160075694377308
59,7,0.041035500817356
60,7,0.00996902931955728
61,7,0.0106254470617158
62,7,0.0559902279712217
63,7,0.0231932949736842
64,7,0.011944218693653
65,7,0.0811363281182653
66,7,0.0975528597186008
67,7,0.0632951905966959
68,7,0.0439288447200883
69,7,0.194443037991128
70,7,0.022622617982578
71,7,0.017916126673414
135,8,0.0963577031199396
57,8,0.0434772547651192
58,8,0.0225453143813585
59,8,0.00751229761484068
62,8,0.0078814911195041
66,8,0.00803134563557517
135,9,0.104119894190889
11,10,0.56883940327854
12,10,0.032930245546184
13,10,0.0435671600691604
14,10,0.0109399919308827
140,10,0.00717757899844542
90,10,0.00331566403592927
10,11,0.753402792636007
12,11,0.020815518782973
13,11,0.0486849891134293
14,11,0.13287345355005
140,11,0.0553203226114279
73,11,0.031671578926796
90,11,0.0114085330309007
91,11,0.0150872840975794
10,12,0.0202522929046953
11,12,0.00966560218452078
13,12,0.185794691158393
137,12,0.0389782402016154
10,13,0.0290443250296278
11,13,0.0245052738755618
12,13,0.201398441983321
137,13,0.0293840515559863
140,13,0.00309871731145778
141,13,0.0048282643799845
73,13,0.0555641735557825
75,13,0.00373192470223989
90,13,0.00263455758632325
10,14,0.0089086760005535
11,14,0.0816952549103972
140,14,0.127424856672147
73,14,0.00931303865467572
87,14,0.00526172393562851
89,14,0.0043578937901693
90,14,0.0359709343698175
91,14,0.0127124338229604
16,15,0.00792910800710426
18,15,0.0484072012027225
127,15,0.180778050241847
136,15,0.0301529793191763
141,15,0.030751283839845
144,15,0.0283629357957624
75,15,0.00376398591102202
80,15,0.00279258056055785
15,16,0.0109308280794784
17,16,0.081115739989161
18,16,0.015141960830025
127,16,0.00510664524918065
136,16,0.459797170672542
139,16,0.0134874324717258
141,16,0.00994667798092582
144,16,0.0027336223187771
147,16,0.0126913220025573
80,16,0.00338886110729618
81,16,0.0113926964042672
16,17,0.00927374812674779
29,17,0.0266452624825684
136,17,0.0154712176439984
137,17,0.0196468868205714
139,17,0.00805353903417147
15,18,0.0635400356329303
16,18,0.0144175301717333
127,18,0.0687407810535903
136,18,0.0318272617765405
137,18,0.00975688557538538
141,18,0.396298500011235
144,18,0.00396567744836678
147,18,0.00325534674517406
75,18,0.0043282631855875
80,18,0.00192466109808317
108,18,0.00634559203403897
20,19,0.0146899920752081
48,19,0.0284569721358192
131,19,0.031999405080829
149,19,0.0386049692440827
80,19,0.00177227829169448
19,20,0.0137572953699914
48,20,0.223963685230499
144,20,0.0232422066634053
149,20,0.00487694915012794
80,20,0.00599924483412843
82,20,0.01349003511267
83,20,0.0094729568163741
85,20,0.0146796671001884
86,20,0.0604721842598487
46,21,0.0765179031372065
47,21,0.00688994191531037
48,21,0.0108440685331926
127,21,0.0038803014771501
144,21,0.237778084072408
80,21,0.00217973666529901
23,22,0.111447895929964
24,22,0.0411514040575752
25,22,0.116883488053016
28,22,0.0132052721251112
50,22,0.087538228325566
131,22,0.00543152452625202
143,22,0.0550192470098964
22,23,0.264415251227655
24,23,0.432124794907825
25,23,0.833976289251587
28,23,0.0233762134281494
50,23,0.0317503155396094
124,23,0.00716858934847256
128,23,0.0041103876891375
131,23,0.0332201711795631
143,23,0.0335837858986239
22,24,0.0451787956543832
23,24,0.199960655075622
25,24,0.111383243051419
50,24,0.00487947483859436
131,24,0.00629844537897629
143,24,0.0546239071519517
22,25,0.171325381817133
23,25,0.515237685659041
24,25,0.148709396690173
28,25,0.0205453014321371
50,25,0.0354005524772368
131,25,0.0535367857212984
132,25,0.0013652746046043
143,25,0.0142255342104506
27,26,0.0404672542117857
28,26,0.00864530010758243
49,26,0.0868265180002357
128,26,0.115188721669401
26,27,0.0209724144218363
128,27,0.0835452608879456
43,54,0.0344989704528424
44,54,0.0183736884316872
50,54,0.0107333455742966
124,54,0.0132870923666025
55,54,0.335150049039555
132,54,0.0409582381381289
146,54,0.00171611051595386
22,28,0.0149890467694908
23,28,0.0111837176893771
25,28,0.0159100165678633
26,28,0.00733100161421281
35,28,0.0607980668689642
36,28,0.0239881618174696
50,28,0.132990049249124
131,28,0.0361865738252795
132,28,0.00640482409132095
142,28,0.035310675247884
17,29,0.133388253676077
124,29,0.00988481265629223
125,29,0.111551140052875
133,29,0.0017126561272111
136,29,0.00311013861542022
137,29,0.0787403837920566
138,29,0.00433604426328637
139,29,0.0223642886934055
40,30,0.048212542621679
51,30,0.0634574283734358
52,30,0.272107359341401
56,30,0.00738978429654828
124,30,0.0287303619981752
125,30,0.00391498280643206
130,30,0.0015589402938786
133,30,0.0577879248236836
139,30,0.00642187406256424
141,30,0.00337751827520043
148,30,0.00267370971106772
94,30,0.00831374972200918
96,30,0.00781566549345259
98,30,0.0130032329989284
106,30,0.00787564320517089
32,31,0.0418001984658766
124,31,0.0761382595253784
130,31,0.0815441811325561
93,31,0.0110112511562207
98,31,0.00967808194099034
107,31,0.0140893129167782
110,31,0.00916698278536562
116,31,0.00572152203272382
119,31,0.00717816562706548
121,31,0.0202697939747874
31,32,0.0401439525362816
33,32,0.00947448907720631
124,32,0.0739960834114794
130,32,0.0441296140794697
133,32,0.00230987385422751
134,32,0.0066264425668636
93,32,0.0696144003386069
95,32,0.00883542570675547
98,32,0.0110838368597934
103,32,0.0075445038161247
107,32,0.102959248608926
110,32,0.0108572404085809
116,32,0.0250449523923134
117,32,0.0186771945447628
119,32,0.0100588768326641
121,32,0.0318216417481783
122,32,0.00788542482504691
32,33,0.0150670128352799
124,33,0.0708458244204514
130,33,0.0019802073312212
134,33,0.111327563799158
146,33,0.00258518666715251
95,33,0.032325837105505
97,33,0.017394863937896
98,33,0.0121246361746764
102,33,0.0191893413153797
110,33,0.0105222343931688
113,33,0.00778382188805768
114,33,0.00848921346370311
119,33,0.0143091064802687
121,33,0.0157742473043545
35,34,0.0443468252455974
36,34,0.098568252340349
37,34,0.0664062128062322
38,34,0.175955368886301
39,34,0.238730662643076
49,34,0.00403982205192747
56,34,0.00821854515223593
124,34,0.0152892569697891
132,34,0.0208326762375875
133,34,0.00182325200258451
142,34,0.00536735275532092
146,34,0.0310537282721779
108,34,0.02117642659529
109,34,0.0177115126214034
118,34,0.0128710022894442
28,35,0.0432265005379122
34,35,0.0565974281201916
36,35,0.364158205036518
37,35,0.0199294415763093
38,35,0.0287972378035351
39,35,0.112012922140873
50,35,0.0212343352038983
56,35,0.00439243253514458
124,35,0.0200916517872229
132,35,0.0388912885375327
142,35,0.0324101361326348
146,35,0.00472953760543614
28,36,0.0172566970774881
34,36,0.127283355820839
35,36,0.368460127605087
37,36,0.0495583832353852
38,36,0.0663860000709422
39,36,0.442969077785723
56,36,0.00911636941256423
124,36,0.0272042365314105
132,36,0.0157468923519101
133,36,0.0017379351844393
142,36,0.0397509398000131
146,36,0.00787521541357909
108,36,0.00931664957598785
109,36,0.00724309111126465
34,37,0.0799971174881633
35,37,0.0188116371606324
36,37,0.0462325869212921
38,37,0.305830162102591
39,37,0.0496097564804644
49,37,0.0469884685648334
56,37,0.0253531758435782
124,37,0.0423114785372736
132,37,0.00440314658337521
133,37,0.00495153533457525
142,37,0.00629986252695243
146,37,0.0187386673035622
96,37,0.00736609181462567
100,37,0.0336476401722233
104,37,0.0134005845023006
106,37,0.00926810483650339
108,37,0.103974787393964
109,37,0.0600578763928278
118,37,0.0155977479596523
34,38,0.214370366186425
35,38,0.0274902631764375
36,38,0.0626331376334324
37,38,0.309297860712177
39,38,0.104606211563011
49,38,0.0231581316320932
56,38,0.0424463684921362
124,38,0.0529243510492701
132,38,0.00635858969236025
133,38,0.003219919914443
142,38,0.010154597687592
146,38,0.0243908111129882
98,38,0.00806957390889837
100,38,0.012777444354414
104,38,0.0130094768132933
108,38,0.0451649652673217
109,38,0.0290140713036647
118,38,0.0141676365941585
34,39,0.334442114230659
35,39,0.122955149350293
36,39,0.480564412677284
37,39,0.0576918182006217
38,39,0.120284039255703
49,39,0.00378280237815068
56,39,0.0125419142827399
124,39,0.0282263205596107
132,39,0.0177023354608951
133,39,0.00193384787795792
142,39,0.0185254993585167
146,39,0.0143208635349691
108,39,0.0163836094905823
109,39,0.0116918226959186
30,40,0.0610092056030382
51,40,0.130591667525155
52,40,0.156229526318435
56,40,0.0557341675449949
124,40,0.034666850052379
125,40,0.00718034291517423
133,40,0.0131703888158964
136,40,0.00350751578093388
139,40,0.0888034908247519
142,40,0.0101220682769537
147,40,0.00603177567893087
98,40,0.012516625527035
124,41,0.0480799527786226
